int,binary,isPrime
0,0000000000000,0
1,0000000000001,0
2,0000000000010,1
3,0000000000011,1
4,0000000000100,0
5,0000000000101,1
6,0000000000110,0
7,0000000000111,1
8,0000000001000,0
9,0000000001001,0
10,0000000001010,0
11,0000000001011,1
12,0000000001100,0
13,0000000001101,1
14,0000000001110,0
15,0000000001111,0
16,0000000010000,0
17,0000000010001,1
18,0000000010010,0
19,0000000010011,1
20,0000000010100,0
21,0000000010101,0
22,0000000010110,0
23,0000000010111,1
24,0000000011000,0
25,0000000011001,0
26,0000000011010,0
27,0000000011011,0
28,0000000011100,0
29,0000000011101,1
30,0000000011110,0
31,0000000011111,1
32,0000000100000,0
33,0000000100001,0
34,0000000100010,0
35,0000000100011,0
36,0000000100100,0
37,0000000100101,1
38,0000000100110,0
39,0000000100111,0
40,0000000101000,0
41,0000000101001,1
42,0000000101010,0
43,0000000101011,1
44,0000000101100,0
45,0000000101101,0
46,0000000101110,0
47,0000000101111,1
48,0000000110000,0
49,0000000110001,0
50,0000000110010,0
51,0000000110011,0
52,0000000110100,0
53,0000000110101,1
54,0000000110110,0
55,0000000110111,0
56,0000000111000,0
57,0000000111001,0
58,0000000111010,0
59,0000000111011,1
60,0000000111100,0
61,0000000111101,1
62,0000000111110,0
63,0000000111111,0
64,0000001000000,0
65,0000001000001,0
66,0000001000010,0
67,0000001000011,1
68,0000001000100,0
69,0000001000101,0
70,0000001000110,0
71,0000001000111,1
72,0000001001000,0
73,0000001001001,1
74,0000001001010,0
75,0000001001011,0
76,0000001001100,0
77,0000001001101,0
78,0000001001110,0
79,0000001001111,1
80,0000001010000,0
81,0000001010001,0
82,0000001010010,0
83,0000001010011,1
84,0000001010100,0
85,0000001010101,0
86,0000001010110,0
87,0000001010111,0
88,0000001011000,0
89,0000001011001,1
90,0000001011010,0
91,0000001011011,0
92,0000001011100,0
93,0000001011101,0
94,0000001011110,0
95,0000001011111,0
96,0000001100000,0
97,0000001100001,1
98,0000001100010,0
99,0000001100011,0
100,0000001100100,0
101,0000001100101,1
102,0000001100110,0
103,0000001100111,1
104,0000001101000,0
105,0000001101001,0
106,0000001101010,0
107,0000001101011,1
108,0000001101100,0
109,0000001101101,1
110,0000001101110,0
111,0000001101111,0
112,0000001110000,0
113,0000001110001,1
114,0000001110010,0
115,0000001110011,0
116,0000001110100,0
117,0000001110101,0
118,0000001110110,0
119,0000001110111,0
120,0000001111000,0
121,0000001111001,0
122,0000001111010,0
123,0000001111011,0
124,0000001111100,0
125,0000001111101,0
126,0000001111110,0
127,0000001111111,1
128,0000010000000,0
129,0000010000001,0
130,0000010000010,0
131,0000010000011,1
132,0000010000100,0
133,0000010000101,0
134,0000010000110,0
135,0000010000111,0
136,0000010001000,0
137,0000010001001,1
138,0000010001010,0
139,0000010001011,1
140,0000010001100,0
141,0000010001101,0
142,0000010001110,0
143,0000010001111,0
144,0000010010000,0
145,0000010010001,0
146,0000010010010,0
147,0000010010011,0
148,0000010010100,0
149,0000010010101,1
150,0000010010110,0
151,0000010010111,1
152,0000010011000,0
153,0000010011001,0
154,0000010011010,0
155,0000010011011,0
156,0000010011100,0
157,0000010011101,1
158,0000010011110,0
159,0000010011111,0
160,0000010100000,0
161,0000010100001,0
162,0000010100010,0
163,0000010100011,1
164,0000010100100,0
165,0000010100101,0
166,0000010100110,0
167,0000010100111,1
168,0000010101000,0
169,0000010101001,0
170,0000010101010,0
171,0000010101011,0
172,0000010101100,0
173,0000010101101,1
174,0000010101110,0
175,0000010101111,0
176,0000010110000,0
177,0000010110001,0
178,0000010110010,0
179,0000010110011,1
180,0000010110100,0
181,0000010110101,1
182,0000010110110,0
183,0000010110111,0
184,0000010111000,0
185,0000010111001,0
186,0000010111010,0
187,0000010111011,0
188,0000010111100,0
189,0000010111101,0
190,0000010111110,0
191,0000010111111,1
192,0000011000000,0
193,0000011000001,1
194,0000011000010,0
195,0000011000011,0
196,0000011000100,0
197,0000011000101,1
198,0000011000110,0
199,0000011000111,1
200,0000011001000,0
201,0000011001001,0
202,0000011001010,0
203,0000011001011,0
204,0000011001100,0
205,0000011001101,0
206,0000011001110,0
207,0000011001111,0
208,0000011010000,0
209,0000011010001,0
210,0000011010010,0
211,0000011010011,1
212,0000011010100,0
213,0000011010101,0
214,0000011010110,0
215,0000011010111,0
216,0000011011000,0
217,0000011011001,0
218,0000011011010,0
219,0000011011011,0
220,0000011011100,0
221,0000011011101,0
222,0000011011110,0
223,0000011011111,1
224,0000011100000,0
225,0000011100001,0
226,0000011100010,0
227,0000011100011,1
228,0000011100100,0
229,0000011100101,1
230,0000011100110,0
231,0000011100111,0
232,0000011101000,0
233,0000011101001,1
234,0000011101010,0
235,0000011101011,0
236,0000011101100,0
237,0000011101101,0
238,0000011101110,0
239,0000011101111,1
240,0000011110000,0
241,0000011110001,1
242,0000011110010,0
243,0000011110011,0
244,0000011110100,0
245,0000011110101,0
246,0000011110110,0
247,0000011110111,0
248,0000011111000,0
249,0000011111001,0
250,0000011111010,0
251,0000011111011,1
252,0000011111100,0
253,0000011111101,0
254,0000011111110,0
255,0000011111111,0
256,0000100000000,0
257,0000100000001,1
258,0000100000010,0
259,0000100000011,0
260,0000100000100,0
261,0000100000101,0
262,0000100000110,0
263,0000100000111,1
264,0000100001000,0
265,0000100001001,0
266,0000100001010,0
267,0000100001011,0
268,0000100001100,0
269,0000100001101,1
270,0000100001110,0
